127.0.0.1 - - [05/Dec/2020:15:22:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:03 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:10 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:22 +0900] "GET /Book/header01.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:27 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:22:34 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:24:29 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:24:34 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:25:06 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:25:22 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:25:26 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:25:30 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [05/Dec/2020:15:25:35 +0900] "GET /Book/include02.jsp HTTP/1.1" 200 266
